Fighter: Georges St-Pierre          ELO: 1550.68
Fighter: Jon Jones                  ELO: 1530.97
Fighter: Gegard Mousasi             ELO: 1495.03
Fighter: Khabib Nurmagomedov        ELO: 1465.84
Fighter: Ryan Bader                 ELO: 1455.8
Fighter: Dustin Poirier             ELO: 1424.69
Fighter: Daniel Cormier             ELO: 1418.83
Fighter: Fedor Emelianenko          ELO: 1417.7
Fighter: Stipe Miocic               ELO: 1399.09
Fighter: Charles Oliveira           ELO: 1391.64
Fighter: Demetrious Johnson         ELO: 1385.24
Fighter: Robert Whittaker           ELO: 1384.35
Fighter: Kyoji Horiguchi            ELO: 1384.26
Fighter: Anthony Johnson            ELO: 1379.84
Fighter: Glover Teixeira            ELO: 1379.24
Fighter: Alexander Volkanovski      ELO: 1376.62
Fighter: Shinya Aoki                ELO: 1375.79
Fighter: Israel Adesanya            ELO: 1374.96
Fighter: Henry Cejudo               ELO: 1374.32
Fighter: Derrick Lewis              ELO: 1367.55
Fighter: Max Holloway               ELO: 1361.17
Fighter: Francis Ngannou            ELO: 1360.75
Fighter: Douglas Lima               ELO: 1359.71
Fighter: Patricio Freire            ELO: 1359.44
Fighter: Alexander Shlemenko        ELO: 1354.57
Fighter: Beneil Dariush             ELO: 1351.05
Fighter: Josh Barnett               ELO: 1349.27
Fighter: Phil Davis                 ELO: 1348.44
Fighter: Michael Bisping            ELO: 1346.87
Fighter: Bas Rutten                 ELO: 1343.83
Fighter: Jon Fitch                  ELO: 1341.16
Fighter: Ben Askren                 ELO: 1330.17
Fighter: Dominick Cruz              ELO: 1328.73
Fighter: Leon Edwards               ELO: 1328.68
Fighter: Tony Ferguson              ELO: 1326.45
Fighter: Fabrício Werdum            ELO: 1323.86
Fighter: Michael Chiesa             ELO: 1321.33
Fighter: T.J. Dillashaw             ELO: 1320.6
Fighter: Eddie Alvarez              ELO: 1319.51
Fighter: Conor McGregor             ELO: 1312.0
Fighter: Bibiano Fernandes          ELO: 1311.87
Fighter: Jorge Masvidal             ELO: 1311.21
Fighter: Neil Magny                 ELO: 1310.47
Fighter: Alexander Volkov           ELO: 1309.78
Fighter: José Aldo                  ELO: 1308.88
Fighter: Colby Covington            ELO: 1308.75
Fighter: Nick Diaz                  ELO: 1307.17
Fighter: Rafael dos Anjos           ELO: 1306.37
