Fighter: Georges St-Pierre          ELO: 1550.51
Fighter: Jon Jones                  ELO: 1530.96
Fighter: Gegard Mousasi             ELO: 1504.57
Fighter: Khabib Nurmagomedov        ELO: 1465.82
Fighter: Ryan Bader                 ELO: 1455.69
Fighter: Kamaru Usman               ELO: 1434.97
Fighter: Kyoji Horiguchi            ELO: 1433.43
Fighter: Dustin Poirier             ELO: 1424.94
Fighter: Daniel Cormier             ELO: 1418.73
Fighter: Fedor Emelianenko          ELO: 1417.61
Fighter: Stipe Miocic               ELO: 1398.9
Fighter: Charles Oliveira           ELO: 1391.72
Fighter: Robert Whittaker           ELO: 1383.9
Fighter: Anthony Johnson            ELO: 1379.82
Fighter: Glover Teixeira            ELO: 1378.43
Fighter: Alexander Volkanovski      ELO: 1376.62
Fighter: Shinya Aoki                ELO: 1375.78
Fighter: Israel Adesanya            ELO: 1374.88
Fighter: Henry Cejudo               ELO: 1372.19
Fighter: Demetrious Johnson         ELO: 1366.36
Fighter: Max Holloway               ELO: 1361.21
Fighter: Francis Ngannou            ELO: 1360.58
Fighter: Douglas Lima               ELO: 1359.69
Fighter: Alexander Shlemenko        ELO: 1354.53
Fighter: Beneil Dariush             ELO: 1351.02
Fighter: Josh Barnett               ELO: 1348.62
Fighter: Phil Davis                 ELO: 1348.42
Fighter: Michael Bisping            ELO: 1346.8
Fighter: Bas Rutten                 ELO: 1343.83
Fighter: Derrick Lewis              ELO: 1341.85
Fighter: Patricio Freire            ELO: 1335.47
Fighter: José Aldo                  ELO: 1331.58
Fighter: Jon Fitch                  ELO: 1331.31
Fighter: Ben Askren                 ELO: 1329.24
Fighter: Dominick Cruz              ELO: 1328.54
Fighter: T.J. Dillashaw             ELO: 1327.38
Fighter: Tony Ferguson              ELO: 1326.9
Fighter: Cheick Kongo               ELO: 1323.6
Fighter: Fabrício Werdum            ELO: 1323.25
Fighter: Leon Edwards               ELO: 1321.46
Fighter: Eddie Alvarez              ELO: 1319.6
Fighter: Conor McGregor             ELO: 1312.16
Fighter: Bibiano Fernandes          ELO: 1310.33
Fighter: Sean Strickland            ELO: 1310.21
Fighter: Neil Magny                 ELO: 1310.2
Fighter: Alexander Volkov           ELO: 1309.27
Fighter: Nick Diaz                  ELO: 1307.17
Fighter: Michael Chandler           ELO: 1303.79
Fighter: Colby Covington            ELO: 1303.25
Fighter: Deiveson Figueiredo        ELO: 1302.95
Fighter: Jorge Masvidal             ELO: 1302.05
Fighter: Cain Velasquez             ELO: 1300.94
Fighter: Frankie Edgar              ELO: 1300.76
Fighter: Sean Sherk                 ELO: 1300.63
Fighter: Vitaly Minakov             ELO: 1299.35
Fighter: Aljamain Sterling          ELO: 1299.17
Fighter: Jake Shields               ELO: 1297.04
Fighter: Michael Chiesa             ELO: 1296.01
Fighter: Rafael dos Anjos           ELO: 1296.01
Fighter: Demian Maia                ELO: 1294.66
Fighter: Mamed Khalidov             ELO: 1294.37
Fighter: Brian Ortega               ELO: 1291.75
Fighter: John Lineker               ELO: 1290.56
Fighter: Quinton Jackson            ELO: 1290.36
Fighter: Benson Henderson           ELO: 1289.53
Fighter: Matt Hughes                ELO: 1288.94
Fighter: Derek Brunson              ELO: 1287.01
Fighter: Michael Page               ELO: 1286.63
Fighter: Alistair Overeem           ELO: 1286.46
Fighter: Luke Rockhold              ELO: 1283.73
Fighter: Dan Henderson              ELO: 1281.71
Fighter: Vitor Belfort              ELO: 1281.17
Fighter: Gilbert Burns              ELO: 1278.4
Fighter: Francisco Trinaldo         ELO: 1278.22
Fighter: Joseph Benavidez           ELO: 1276.92
Fighter: Mirko Filipović            ELO: 1276.08
Fighter: Rick Hawn                  ELO: 1274.92
Fighter: Chad Mendes                ELO: 1274.81
Fighter: Lyoto Machida              ELO: 1274.72
Fighter: Tyron Woodley              ELO: 1274.58
Fighter: Urijah Faber               ELO: 1274.21
Fighter: Curtis Blaydes             ELO: 1274.16
Fighter: Brad Tavares               ELO: 1274.01
Fighter: Robbie Lawler              ELO: 1273.34
Fighter: Jan Blachowicz             ELO: 1272.9
Fighter: Chael Sonnen               ELO: 1271.14
Fighter: Islam Makhachev            ELO: 1271.06
Fighter: Magomedrasul Khasbulaev    ELO: 1270.49
Fighter: Daniel Mason-Straus        ELO: 1269.58
Fighter: Lorenz Larkin              ELO: 1269.27
Fighter: Tito Ortiz                 ELO: 1269.13
Fighter: Forrest Griffin            ELO: 1268.91
Fighter: Shamil Zavurov             ELO: 1266.24
Fighter: Will Brooks                ELO: 1261.97
Fighter: Kenny Florian              ELO: 1261.72
Fighter: Rustam Khabilov            ELO: 1261.49
Fighter: James Krause               ELO: 1261.13
Fighter: Andre Harrison             ELO: 1260.81
Fighter: Rich Franklin              ELO: 1260.79
Fighter: Anthony Smith              ELO: 1260.74
Fighter: Sergei Kharitonov          ELO: 1260.69
Fighter: Rory MacDonald             ELO: 1259.55
Fighter: Marlon Moraes              ELO: 1259.41
Fighter: Patricky Freire            ELO: 1257.81
Fighter: Andrey Koreshkov           ELO: 1257.44
Fighter: Josh Emmett                ELO: 1257.34
Fighter: Thales Leites              ELO: 1254.67
Fighter: Michael McDonald           ELO: 1253.57
Fighter: Jack Hermansson            ELO: 1250.24
Fighter: Anderson Silva             ELO: 1249.7
Fighter: Gleison Tibau              ELO: 1248.31
Fighter: Michel Prazeres            ELO: 1247.17
Fighter: Chris Weidman              ELO: 1245.1
Fighter: Rashid Magomedov           ELO: 1244.54
Fighter: Rick Story                 ELO: 1244.48
Fighter: Askar Askarov              ELO: 1244.0
Fighter: Ronaldo Souza              ELO: 1243.96
Fighter: Zabit Magomedsharipov      ELO: 1243.34
Fighter: Ricardo Lamas              ELO: 1242.12
Fighter: Yoel Romero                ELO: 1241.8
Fighter: Phil De Fries              ELO: 1241.26
Fighter: Raphael Assunção           ELO: 1240.33
Fighter: Goiti Yamauchi             ELO: 1239.41
Fighter: Carlos Diego Ferreira      ELO: 1238.54
