Fighter: Jon Jones                  Glicko2: 2204.0
Fighter: Alexander Volkanovski      Glicko2: 2202.98
Fighter: Georges St-Pierre          Glicko2: 2197.32
Fighter: Kamaru Usman               Glicko2: 2196.19
Fighter: A.J. McKee                 Glicko2: 2175.31
Fighter: Israel Adesanya            Glicko2: 2167.14
Fighter: Henry Cejudo               Glicko2: 2134.53
Fighter: Aljamain Sterling          Glicko2: 2126.51
Fighter: Patricio Freire            Glicko2: 2125.56
Fighter: Patrício Freire            Glicko2: 2125.56
Fighter: T.J. Dillashaw             Glicko2: 2121.35
Fighter: Islam Makhachev            Glicko2: 2111.38
Fighter: Dominick Cruz              Glicko2: 2108.32
Fighter: Sean Strickland            Glicko2: 2106.46
Fighter: Michael Page (fighter)     Glicko2: 2106.37
Fighter: Daniel Cormier             Glicko2: 2103.0
Fighter: Rafael Lovato Jr.          Glicko2: 2101.9
Fighter: Max Holloway               Glicko2: 2101.89
Fighter: Movsar Evloev              Glicko2: 2101.61
Fighter: Colby Covington            Glicko2: 2100.8
Fighter: Michael Chandler           Glicko2: 2099.69
Fighter: Bryce Mitchell             Glicko2: 2098.9
Fighter: José Aldo                  Glicko2: 2098.61
Fighter: Dustin Poirier             Glicko2: 2097.76
Fighter: Justin Gaethje             Glicko2: 2097.21
Fighter: Stipe Miocic               Glicko2: 2097.06
Fighter: Demetrious Johnson (fighter) Glicko2: 2096.83
Fighter: Magomed Ankalaev           Glicko2: 2095.1
Fighter: Ben Askren                 Glicko2: 2091.68
Fighter: Ciryl Gane                 Glicko2: 2091.39
Fighter: Gregor Gillespie           Glicko2: 2090.95
Fighter: Paulo Costa (fighter)      Glicko2: 2086.77
Fighter: Julio Cesar Neves          Glicko2: 2085.0
Fighter: Frankie Edgar              Glicko2: 2081.97
Fighter: Josh Emmett                Glicko2: 2079.18
Fighter: Robert Whittaker (fighter) Glicko2: 2075.23
Fighter: Rob Font                   Glicko2: 2072.43
Fighter: Benson Henderson           Glicko2: 2071.39
Fighter: Brad Riddell               Glicko2: 2071.22
Fighter: Zabit Magomedsharipov      Glicko2: 2069.96
Fighter: Chad Mendes                Glicko2: 2069.48
Fighter: Petr Yan                   Glicko2: 2068.47
Fighter: Gegard Mousasi             Glicko2: 2066.05
Fighter: Askar Askarov              Glicko2: 2064.15
Fighter: Anthony Johnson (fighter)  Glicko2: 2062.9
Fighter: Shamil Gamzatov            Glicko2: 2058.08
Fighter: Deiveson Figueiredo        Glicko2: 2057.92
Fighter: Brian Ortega               Glicko2: 2057.64
Fighter: Shinya Aoki                Glicko2: 2057.57
Fighter: Rustam Khabilov            Glicko2: 2056.67
Fighter: Vitaly Minakov             Glicko2: 2056.38
Fighter: Sean O'Malley (fighter)    Glicko2: 2056.32
Fighter: Brad Tavares               Glicko2: 2056.12
Fighter: Cory Sandhagen             Glicko2: 2055.87
Fighter: Reinier De Ridder          Glicko2: 2054.25
Fighter: Beneil Dariush             Glicko2: 2051.42
Fighter: Cain Velasquez             Glicko2: 2050.96
Fighter: Santiago Ponzinibbio       Glicko2: 2050.64
Fighter: Ryan Bader                 Glicko2: 2049.31
Fighter: Muslim Salikhov            Glicko2: 2048.85
Fighter: Andrey Koreshkov           Glicko2: 2048.09
Fighter: Joseph Benavidez           Glicko2: 2047.57
Fighter: Cole Konrad                Glicko2: 2047.16
Fighter: Rick Hawn                  Glicko2: 2045.12
Fighter: Jack Shore                 Glicko2: 2044.96
Fighter: Carlos Diego Ferreira      Glicko2: 2039.72
Fighter: Conor McGregor             Glicko2: 2039.72
Fighter: John Hathaway              Glicko2: 2039.67
Fighter: Ilia Topuria               Glicko2: 2035.23
Fighter: Elias Theodorou            Glicko2: 2034.27
Fighter: Michel Prazeres            Glicko2: 2034.1
Fighter: Cody Garbrandt             Glicko2: 2033.22
Fighter: Gilbert Burns (fighter)    Glicko2: 2031.56
Fighter: Juan Archuleta             Glicko2: 2031.28
Fighter: Ottman Azaitar             Glicko2: 2027.65
Fighter: Calvin Kattar              Glicko2: 2026.98
Fighter: Urijah Faber               Glicko2: 2026.13
Fighter: Tony Ferguson (fighter)    Glicko2: 2022.8
Fighter: Vadim Nemkov               Glicko2: 2022.73
Fighter: Raphael Assunção           Glicko2: 2020.41
Fighter: Dong Hyun Kim              Glicko2: 2019.91
Fighter: Glover Teixeira            Glicko2: 2017.17
Fighter: Ricardo Lamas              Glicko2: 2016.93
Fighter: Sergio Pettis              Glicko2: 2015.88
Fighter: Luke Rockhold              Glicko2: 2015.59
Fighter: Derek Brunson              Glicko2: 2013.99
Fighter: Belal Muhammad             Glicko2: 2012.92
Fighter: Dominick Reyes             Glicko2: 2011.28
Fighter: Brendan Allen              Glicko2: 2010.77
Fighter: Ray Mercer                 Glicko2: 2010.74
Fighter: Raoni Barcelos             Glicko2: 2010.35
Fighter: Bibiano Fernandes          Glicko2: 2009.71
Fighter: Lyle Beerbohm              Glicko2: 2009.06
Fighter: Murad Machaev              Glicko2: 2007.78
Fighter: Ricky Simón                Glicko2: 2007.3
Fighter: Pedro Munhoz               Glicko2: 2006.44
Fighter: Benito Lopez               Glicko2: 2005.79
Fighter: Vinc Pichel                Glicko2: 2005.51
Fighter: Brett Johns                Glicko2: 2005.5
Fighter: Manny Bermudez             Glicko2: 2005.26
Fighter: Leon Edwards               Glicko2: 2004.85
Fighter: Shane Burgos               Glicko2: 2004.72
Fighter: Jimmie Rivera              Glicko2: 2004.58
Fighter: Rafael Fiziev              Glicko2: 2002.9
Fighter: Arman Tsarukyan            Glicko2: 2002.74
Fighter: Krzysztof Jotko            Glicko2: 2002.56
Fighter: Francisco Trinaldo         Glicko2: 2000.72
Fighter: Gilbert Melendez           Glicko2: 1999.24
Fighter: Will Brooks (fighter)      Glicko2: 1998.01
Fighter: Dave Jansen                Glicko2: 1997.21
Fighter: Yoel Romero                Glicko2: 1995.32
Fighter: Sergei Pavlovich           Glicko2: 1995.07
Fighter: Goiti Yamauchi             Glicko2: 1994.69
Fighter: Arjan Bhullar              Glicko2: 1994.66
Fighter: Khamzat Chimaev            Glicko2: 1993.47
Fighter: Rad Martinez               Glicko2: 1993.04
Fighter: Magomed Bibulatov          Glicko2: 1992.4
Fighter: Alexandre Pantoja          Glicko2: 1991.28
Fighter: Eddie Alvarez              Glicko2: 1991.04
Fighter: Darren Elkins              Glicko2: 1990.72
Fighter: Sean Sherk                 Glicko2: 1990.46
Fighter: Neil Magny                 Glicko2: 1989.88
Fighter: Alberto Mina               Glicko2: 1989.55
Fighter: Jussier Formiga            Glicko2: 1988.24
Fighter: Jussier da Silva           Glicko2: 1988.24
Fighter: Edson Barboza              Glicko2: 1986.83
Fighter: Dan Ige                    Glicko2: 1986.04
Fighter: Adam McDonough             Glicko2: 1985.06
Fighter: Renato Moicano             Glicko2: 1984.5
Fighter: Valentin Moldavsky         Glicko2: 1984.41
Fighter: Ricardo Ramos (fighter)    Glicko2: 1984.24
Fighter: Jack Hermansson            Glicko2: 1983.28
Fighter: Ramazan Emeev              Glicko2: 1983.27
Fighter: Chas Skelly                Glicko2: 1982.49
Fighter: Chris Holdsworth           Glicko2: 1981.27
Fighter: Jairzinho Rozenstruik      Glicko2: 1978.41
Fighter: Lyoto Machida              Glicko2: 1978.32
Fighter: Chris Weidman              Glicko2: 1977.76
Fighter: Michael Chiesa             Glicko2: 1976.16
Fighter: Jorge Masvidal             Glicko2: 1976.09
Fighter: Aleksandar Rakić           Glicko2: 1975.89
Fighter: Donald Cerrone             Glicko2: 1974.58
Fighter: Ronaldo Souza              Glicko2: 1973.82
Fighter: T. J. Grant                Glicko2: 1973.67
Fighter: TJ Grant                   Glicko2: 1973.67
Fighter: Said Nurmagomedov          Glicko2: 1973.49
Fighter: Junior dos Santos          Glicko2: 1972.54
Fighter: Myles Jury                 Glicko2: 1972.43
Fighter: Yair Rodríguez             Glicko2: 1972.26
Fighter: Mirsad Bektić              Glicko2: 1970.67
Fighter: Michael McDonald (fighter) Glicko2: 1970.31
Fighter: David Branch (fighter)     Glicko2: 1969.15
Fighter: Logan Storley              Glicko2: 1969.08
Fighter: Douglas Lima               Glicko2: 1967.72
Fighter: Shane Carwin               Glicko2: 1966.65
Fighter: Michael Bisping            Glicko2: 1966.57
Fighter: Alexander Gustafsson       Glicko2: 1966.46
Fighter: Jay Hieron                 Glicko2: 1966.25
Fighter: Albert Tumenov             Glicko2: 1965.22
Fighter: Kenny Florian              Glicko2: 1963.65
Fighter: Giga Chikadze              Glicko2: 1963.15
Fighter: Derrick Lewis (fighter)    Glicko2: 1963.03
Fighter: Lorenz Larkin              Glicko2: 1961.52
Fighter: Jared Gordon               Glicko2: 1961.38
Fighter: Thales Leites              Glicko2: 1961.36
Fighter: Tyron Woodley              Glicko2: 1959.43
Fighter: Volkan Oezdemir            Glicko2: 1959.41
Fighter: Matt Hughes (fighter)      Glicko2: 1959.19
Fighter: Josh Barnett               Glicko2: 1958.53
Fighter: Christian Uflacker         Glicko2: 1958.26
Fighter: Lerone Murphy              Glicko2: 1957.39
Fighter: Edmen Shahbazyan           Glicko2: 1956.56
Fighter: Emmanuel Sanchez           Glicko2: 1956.19
Fighter: Gavin Tucker               Glicko2: 1955.58
Fighter: Cub Swanson                Glicko2: 1955.56
Fighter: Joshua Pacio               Glicko2: 1954.01
Fighter: Joaquim Silva (fighter)    Glicko2: 1953.82
Fighter: Daniel Puder               Glicko2: 1953.66
Fighter: Zak Cummings               Glicko2: 1953.44
Fighter: Punahele Soriano           Glicko2: 1952.46
Fighter: Paul Sass                  Glicko2: 1952.4
Fighter: Elizeu Zaleski dos Santos  Glicko2: 1952.25
Fighter: Alexander Shlemenko        Glicko2: 1951.64
Fighter: Ray Borg                   Glicko2: 1951.45
Fighter: Shane Del Rosario          Glicko2: 1950.74
Fighter: Shane del Rosario          Glicko2: 1950.74
Fighter: Lyman Good                 Glicko2: 1950.41
Fighter: Tai Tuivasa                Glicko2: 1950.4
Fighter: Cosmo Alexandre            Glicko2: 1950.31
Fighter: Rory MacDonald (fighter)   Glicko2: 1950.14
Fighter: Bryan Baker (fighter)      Glicko2: 1949.9
Fighter: Gunnar Nelson (fighter)    Glicko2: 1949.79
Fighter: Olivier Aubin-Mercier      Glicko2: 1949.73
Fighter: Omari Akhmedov             Glicko2: 1949.56
Fighter: Tim Kennedy (fighter)      Glicko2: 1949.54
Fighter: Jimmy Crute                Glicko2: 1947.94
Fighter: Thomas Almeida             Glicko2: 1947.91
Fighter: Merab Dvalishvili          Glicko2: 1947.69
Fighter: John Moraga                Glicko2: 1947.48
Fighter: Mateusz Gamrot             Glicko2: 1946.82
Fighter: Anthony Pettis             Glicko2: 1946.81
Fighter: Marcin Tybura              Glicko2: 1946.24
Fighter: Giva Santana               Glicko2: 1945.91
Fighter: Givanildo Santana          Glicko2: 1945.91
